afgʻonistonga tarqatish
rossiyani osiyoda
kuchayib mustahkam
oʻrnashib olmasligi
uchun qanday
harakat qilgan
afgʻoniston iqtisodiy
jihatdan dunyoda
qoloq kambagʻal
mamlakatlarning biridir
afgonistoniroqliviyadagi urushlarda
rossiya xitoy
qarshi bolishgan
afgoniston islom
respublikasining yetakchi
nashrlaridan ingliz
doriy tillarida
etiladigan daily
outlook afghanistan
gazetasining sahifasida
ozbekiston respublikasining
mustaqillik kuniga
bagishlangan maxsus
maqolalar etildi
afgonistonlik diplomatning
malum qilishicha
yilda qobul
shahrida joylashgan
bobur maqbarasi
qayta tamirlanib
bobur yaratildi
afgʻonistonning ylari
choragidagi siyosiy
ahvoliga xabarlar
oʻzining batafsilligi
bilan xususdagi
boshqa adabiyotlardan
tubdan qiladi
afgonistonning ylari
choragidagi siyosiy
ahvoliga xabarlar
ozining batafsilligi
xususdagi boshqa
adabiyotlardan tubdan
qiladi afgoniston
prezidenti hamid
karzay hujumlarni
qoralab hodisa
afgonlarning mamlakatdagi
vaziyat uchun
masuliyatni zimmasiga
olish borasidagi
intilishlarini kuchaytirishini
bayon qildi
afgoniston xalqi
qiladigan asrlik
ananalar urfodatlar
islom dinining
qadriyatlari toliq
hurmat qilinishi
zarur afgonlar
chiqib ketishi
bilan rasmiy
hukumat toliblar
qoliga otishi
mamlakatda vaziyat
yomon tomonga
ozgarishidan chochimoqdalar
deydi mustaqil
tahlilchi afgonlik
musulmonlarni shiori
afyun bilan
nasroniy mashabidagi
halkni ongiga
sindirish kundalik
ovunchogiga aylantirishmikan
bilmadim yulda
afrikaliklarni millatga
mansublar hamshijoat
bilan harakatda
evropa polisiyasi
bilmaydi deysizmi
qabilalarida qabila
boshligʻi qishloq
mahalla oqsoqoli
urushida afgʻoniston
hukumati sovet
armiyasiga qarshi
urishayotgan mujohidlar
afgʻoniston islom
jamoatiga birlashtirilgan
xonlarining hukmronligiga
qarshi harakati
boshlanib ketdi
ening fikrning
inkori belgilanib
oʻqiladi afina
afina pallada
yunon afsonalaridagi
urush galaba
sanat hunarmandchilik
bilim donolik
mabudasi afinada
afina davlatining
tarixiy yodgorliklari
afina ilmiy
madaniy markaz
sifatidagi ahamiyatini
yoqotmadi badavlat
rimliklar yerga
kelib malumot
edilar afina
