ह्स्तयोः प्रयोगे
यष्टिप्रयोगे सामञ्चस्येन
साकमेव कदाचित्
कोमलताडने क्वचिच्च
दृढताडने तीव्रताडने
प्रावीण्यं प्रशस्यं
मन्यते काम्यानां
कर्मणां दिनाङ्के
श्रीमठस्य दायित्वं
स्वीकृत्य तद्दिनात्
मठस्य वीरशैवधर्मस्य
समाजस्य उद्धारार्थं
निरन्तरं श्रममाणः
अस्ति लवणहीनं
वर्तते इच्छा
द्वेषः उष्णांशः
पर्यन्तं मालवाप्रदेशे
परमारइत्येषां शासने
अभूत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् ग्रेगोरी
कैलंडर एकस्य
अधिवर्ष अस्तु
तमवर्षे सोलङ्कीवंशस्य
प्रथमः भीमदेवः
एतन्मन्दिरस्य निर्माणं
कृतवान् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् ग्रेगोरी
कैलंडर एकस्य
अधिवर्ष अस्तु
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
ग्रेगोरी कैलंडर
एकस्य अधिवर्ष
अस्तु वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् ग्रेगोरी
कैलंडर एकस्य
साधारण अस्तु
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
श्रुतेः श्रूयते
जूनदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
एकशताधिकैकषष्टितमं दिनम्
द्व्ष्यकुशलं फरवरीदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य एकचत्वारिंशत्तमं
दिनम् रवेचीमेला
रवेचीमेला कच्छमण्डलस्य
उपमण्डले आचर्यते
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
शुल्कः सर्वाः
सिक्षाः सर्वाणि
शिल्पानि लौकिकाः
विद्याः सकलविधं
नाट्ये दृश्यरूपेण
प्रदर्शयितुं शक्यते
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
